created_at,text
2020-03-22,Call Trump’s News Conferences What They Are: Propaganda  https://t.co/Ob95gUsA64
2020-03-22,"COVID-19 isn't the catchiest name, but there's a really good reason why we all ought to be using it.

via: @ConversationEDU 

https://t.co/Livt0K8XcJ"
2020-03-22,"The UK has just two weeks to stop a coronavirus outbreak as bad as Italy. 

Here's why time is running out 
#CovidUK #HoldThemToAccount 
Business Insider https://t.co/cagwOWMlhg"
2020-03-22,ugh i love her sm https://t.co/TdFaXK2q2u
2020-03-22,"Fight the menace of COVID-19 together stay at home and be safe. 

#JantaCurfewMarch22 #JanataCurfew #JantaCurfewPledge #jantacurfew22march #StayHomeStaySafe #stayhomechallenge #StayAtHome #StaySafe #CoronaUpdatesInIndia #CoronavirusPandemic #Covid_19  #paperboy #awarnessredefined https://t.co/uKnQvaZ9Fp"
2020-03-22,"Corbyn never fails to disappoint. Saying the country is vulnerable due to austerity. No it has not, even the best health care system won't cope. #coronavirus @jeremycorbyn"
2020-03-22,Ex-President Of Real Madrid Lorenzo Sanz Dies After Testing Positive For Coronavirus https://t.co/zMXkgKk8pN https://t.co/d0Pcpp4dgW
2020-03-22,"With oil prices falling amid the COVID-19 recession, it's the beginning of the end for fracking https://t.co/5fZWESoRyh"
2020-03-22,"Former CDC director: There's a long war ahead and our Covid-19 response must adapt
https://t.co/aIGq1Ucq5J"
2020-03-22,Another one https://t.co/Bb9iLEZJHk
2020-03-22,‘Million dollar question!’ Belgian health minister jokes on how long coronavirus lockdown will last https://t.co/4wHUXRXU8B https://t.co/JohQ1XFaYn
2020-03-22,"To join the fight against coronavirus, I have taken the Janta Curfew Pledge and committed myself towards keeping the country safe. You can also take the pledge at https://t.co/LRH1FH5g1I https://t.co/0ayybF4Q7s via @mygovindia"
2020-03-22,Soon it will be a complete lock down situation. https://t.co/ZqKQOUbRIg
2020-03-22,"Business, transport suspended in India during 14-hour lockdown for coronavirus https://t.co/Sgu7bfe15Q https://t.co/IAFiLD0jlD"
2020-03-22,WATCH: Chinese Government Encourages Italians to Fight Coronavirus Racism by Hugging Strangers . learn from below why Italy is where it is today #IgnorantKenyans @ahmednasirlaw https://t.co/GklBNHUrD2 #Culture via @pjmedia_com
2020-03-22,We’re all silent carriers of smth https://t.co/hFQD4nsQva
2020-03-22,Please check this out. https://t.co/zHOqNRDYCr
2020-03-22,How the Virus Got Out https://t.co/SIAP9lTpHV
2020-03-22,These are such problematic times that even a staunchly conservative guy as @KenBoessenkool supports the universal basic income as a response to #COVID19 ... https://t.co/kzb3ZgkOZe
